date,product_name,day_of_week,season_encoded,previous_sales,quantity_sold
2025-06-28,Cow Milk,5,2,1402,1402
2025-06-29,Cow Milk,6,2,1402,1444
2025-06-30,Cow Milk,0,2,1444,1591
2025-07-01,Cow Milk,1,2,1591,1769
2025-07-02,Cow Milk,2,2,1769,1780
2025-07-03,Cow Milk,3,2,1780,1755
2025-07-04,Cow Milk,4,2,1755,1845
2025-07-05,Cow Milk,5,2,1845,2089
2025-07-06,Cow Milk,6,2,2089,1996
2025-07-07,Cow Milk,0,2,1996,1876
2025-07-08,Cow Milk,1,2,1876,1777
2025-07-09,Cow Milk,2,2,1777,1863
2025-07-10,Cow Milk,3,2,1863,1779
2025-07-11,Cow Milk,4,2,1779,1800
2025-07-12,Cow Milk,5,2,1800,1722
2025-07-13,Cow Milk,6,2,1722,1766
2025-07-14,Cow Milk,0,2,1766,1706
2025-07-15,Cow Milk,1,2,1706,1761
2025-07-16,Cow Milk,2,2,1761,1772
2025-07-17,Cow Milk,3,2,1772,1857
2025-07-18,Cow Milk,4,2,1857,1869
2025-07-19,Cow Milk,5,2,1869,2098
2025-07-20,Cow Milk,6,2,2098,2175
2025-07-21,Cow Milk,0,2,2175,2414
2025-07-22,Cow Milk,1,2,2414,2443
2025-07-23,Cow Milk,2,2,2443,2367
2025-07-24,Cow Milk,3,2,2367,2533
2025-07-25,Cow Milk,4,2,2533,2654
2025-07-26,Cow Milk,5,2,2654,2604
2025-07-27,Cow Milk,6,2,2604,2509
2025-07-28,Cow Milk,0,2,2509,2339
2025-07-29,Cow Milk,1,2,2339,2503
2025-07-30,Cow Milk,2,2,2503,2748
2025-07-31,Cow Milk,3,2,2748,2945
2025-08-01,Cow Milk,4,2,2945,2952
2025-08-02,Cow Milk,5,2,2952,3031
2025-08-03,Cow Milk,6,2,3031,2880
2025-08-04,Cow Milk,0,2,2880,3134
2025-08-05,Cow Milk,1,2,3134,3245
2025-08-06,Cow Milk,2,2,3245,3034
2025-08-07,Cow Milk,3,2,3034,3074
2025-08-08,Cow Milk,4,2,3074,3102
2025-08-09,Cow Milk,5,2,3102,3106
2025-08-10,Cow Milk,6,2,3106,3222
2025-08-11,Cow Milk,0,2,3222,3366
2025-08-12,Cow Milk,1,2,3366,3147
2025-08-13,Cow Milk,2,2,3147,3011
2025-08-14,Cow Milk,3,2,3011,2816
2025-08-15,Cow Milk,4,2,2816,3088
2025-08-16,Cow Milk,5,2,3088,3098
2025-08-17,Cow Milk,6,2,3098,3420
2025-08-18,Cow Milk,0,2,3420,3592
2025-08-19,Cow Milk,1,2,3592,3701
2025-08-20,Cow Milk,2,2,3701,3967
2025-08-21,Cow Milk,3,2,3967,3761
2025-08-22,Cow Milk,4,2,3761,3791
2025-08-23,Cow Milk,5,2,3791,3899
2025-08-24,Cow Milk,6,2,3899,3811
2025-08-25,Cow Milk,0,2,3811,4205
2025-08-26,Cow Milk,1,2,4205,3903
2025-08-27,Cow Milk,2,2,3903,3674
2025-08-28,Cow Milk,3,2,3674,3771
2025-08-29,Cow Milk,4,2,3771,4033
2025-08-30,Cow Milk,5,2,4033,4087
2025-08-31,Cow Milk,6,2,4087,4295
2025-09-01,Cow Milk,0,3,4295,4257
2025-09-02,Cow Milk,1,3,4257,3887
2025-09-03,Cow Milk,2,3,3887,3500
2025-09-04,Cow Milk,3,3,3500,3697
2025-09-05,Cow Milk,4,3,3697,3960
2025-09-06,Cow Milk,5,3,3960,4132
2025-09-07,Cow Milk,6,3,4132,4355
2025-09-08,Cow Milk,0,3,4355,4033
2025-09-09,Cow Milk,1,3,4033,3684
2025-09-10,Cow Milk,2,3,3684,3744
2025-09-11,Cow Milk,3,3,3744,3802
2025-09-12,Cow Milk,4,3,3802,3649
2025-09-13,Cow Milk,5,3,3649,3675
2025-09-14,Cow Milk,6,3,3675,3330
2025-09-15,Cow Milk,0,3,3330,3084
2025-09-16,Cow Milk,1,3,3084,2924
2025-09-17,Cow Milk,2,3,2924,2670
2025-09-18,Cow Milk,3,3,2670,2787
2025-09-19,Cow Milk,4,3,2787,2575
2025-09-20,Cow Milk,5,3,2575,2688
2025-09-21,Cow Milk,6,3,2688,2516
2025-09-22,Cow Milk,0,3,2516,2719
2025-09-23,Cow Milk,1,3,2719,2923
2025-09-24,Cow Milk,2,3,2923,3181
2025-09-25,Cow Milk,3,3,3181,3072
2025-09-26,Cow Milk,4,3,3072,2907
2025-09-27,Cow Milk,5,3,2907,2843
2025-09-28,Cow Milk,6,3,2843,2962
2025-09-29,Cow Milk,0,3,2962,3116
2025-09-30,Cow Milk,1,3,3116,3193
2025-10-01,Cow Milk,2,3,3193,2918
2025-10-02,Cow Milk,3,3,2918,2683
2025-10-03,Cow Milk,4,3,2683,2499
2025-10-04,Cow Milk,5,3,2499,2444
2025-10-05,Cow Milk,6,3,2444,2545
2025-10-06,Cow Milk,0,3,2545,2745
2025-10-07,Cow Milk,1,3,2745,2529
2025-10-08,Cow Milk,2,3,2529,2580
2025-10-09,Cow Milk,3,3,2580,2607
2025-10-10,Cow Milk,4,3,2607,2810
2025-10-11,Cow Milk,5,3,2810,2736
2025-10-12,Cow Milk,6,3,2736,3039
2025-10-13,Cow Milk,0,3,3039,3146
2025-10-14,Cow Milk,1,3,3146,2834
2025-10-15,Cow Milk,2,3,2834,2768
2025-10-16,Cow Milk,3,3,2768,3034
2025-10-17,Cow Milk,4,3,3034,2943
2025-10-18,Cow Milk,5,3,2943,3033
2025-10-19,Cow Milk,6,3,3033,2900
2025-10-20,Cow Milk,0,3,2900,3032
2025-10-21,Cow Milk,1,3,3032,2764
2025-10-22,Cow Milk,2,3,2764,2825
2025-10-23,Cow Milk,3,3,2825,3077
2025-10-24,Cow Milk,4,3,3077,3174
2025-10-25,Cow Milk,5,3,3174,3140
2025-10-26,Cow Milk,6,3,3140,3002
2025-10-27,Cow Milk,0,3,3002,2711
2025-10-28,Cow Milk,1,3,2711,2483
2025-10-29,Cow Milk,2,3,2483,2235
2025-10-30,Cow Milk,3,3,2235,2248
2025-10-31,Cow Milk,4,3,2248,2147
2025-11-01,Cow Milk,5,3,2147,2111
2025-11-02,Cow Milk,6,3,2111,2151
2025-11-03,Cow Milk,0,3,2151,2319
2025-11-04,Cow Milk,1,3,2319,2344
2025-11-05,Cow Milk,2,3,2344,2534
2025-11-06,Cow Milk,3,3,2534,2419
2025-11-07,Cow Milk,4,3,2419,2578
2025-11-08,Cow Milk,5,3,2578,2521
2025-11-09,Cow Milk,6,3,2521,2763
2025-11-10,Cow Milk,0,3,2763,2723
2025-11-11,Cow Milk,1,3,2723,2837
2025-11-12,Cow Milk,2,3,2837,2600
2025-11-13,Cow Milk,3,3,2600,2428
2025-11-14,Cow Milk,4,3,2428,2297
2025-11-15,Cow Milk,5,3,2297,2383
2025-11-16,Cow Milk,6,3,2383,2437
2025-11-17,Cow Milk,0,3,2437,2596
2025-11-18,Cow Milk,1,3,2596,2713
2025-11-19,Cow Milk,2,3,2713,2740
2025-11-20,Cow Milk,3,3,2740,2981
2025-11-21,Cow Milk,4,3,2981,3041
2025-11-22,Cow Milk,5,3,3041,3167
2025-11-23,Cow Milk,6,3,3167,3010
2025-11-24,Cow Milk,0,3,3010,3012
2025-11-25,Cow Milk,1,3,3012,2839
2025-11-26,Cow Milk,2,3,2839,3102
2025-11-27,Cow Milk,3,3,3102,3110
2025-11-28,Cow Milk,4,3,3110,3258
2025-11-29,Cow Milk,5,3,3258,3438
2025-11-30,Cow Milk,6,3,3438,3191
2025-12-01,Cow Milk,0,0,3191,3095
2025-12-02,Cow Milk,1,0,3095,3293
2025-12-03,Cow Milk,2,0,3293,3347
2025-12-04,Cow Milk,3,0,3347,3122
2025-12-05,Cow Milk,4,0,3122,2818
2025-12-06,Cow Milk,5,0,2818,2610
2025-12-07,Cow Milk,6,0,2610,2497
2025-12-08,Cow Milk,0,0,2497,2620
2025-12-09,Cow Milk,1,0,2620,2685
2025-12-10,Cow Milk,2,0,2685,2927
2025-12-11,Cow Milk,3,0,2927,3021
2025-12-12,Cow Milk,4,0,3021,3011
2025-12-13,Cow Milk,5,0,3011,2866
2025-12-14,Cow Milk,6,0,2866,2710
2025-12-15,Cow Milk,0,0,2710,2444
2025-12-16,Cow Milk,1,0,2444,2545
2025-12-17,Cow Milk,2,0,2545,2670
2025-12-18,Cow Milk,3,0,2670,2929
2025-12-19,Cow Milk,4,0,2929,2682
2025-12-20,Cow Milk,5,0,2682,2598
2025-12-21,Cow Milk,6,0,2598,2762
2025-12-22,Cow Milk,0,0,2762,2715
2025-12-23,Cow Milk,1,0,2715,2791
2025-12-24,Cow Milk,2,0,2791,2695
2025-12-25,Cow Milk,3,0,2695,2958
2025-12-26,Cow Milk,4,0,2958,2858
2025-12-27,Cow Milk,5,0,2858,2743
2025-12-28,Cow Milk,6,0,2743,2708
2025-12-29,Cow Milk,0,0,2708,2644
2025-12-30,Cow Milk,1,0,2644,2470
2025-12-31,Cow Milk,2,0,2470,2300
2026-01-01,Cow Milk,3,0,2300,2424
2026-01-02,Cow Milk,4,0,2424,2216
2026-01-03,Cow Milk,5,0,2216,2105
2026-01-04,Cow Milk,6,0,2105,1916
2026-01-05,Cow Milk,0,0,1916,1970
2026-01-06,Cow Milk,1,0,1970,1933
2026-01-07,Cow Milk,2,0,1933,1783
2026-01-08,Cow Milk,3,0,1783,1824
2026-01-09,Cow Milk,4,0,1824,1910
2026-01-10,Cow Milk,5,0,1910,1956
2026-01-11,Cow Milk,6,0,1956,2058
2026-01-12,Cow Milk,0,0,2058,2062
2026-01-13,Cow Milk,1,0,2062,2266
2026-01-14,Cow Milk,2,0,2266,2431
2026-01-15,Cow Milk,3,0,2431,2299
2026-01-16,Cow Milk,4,0,2299,2458
2026-01-17,Cow Milk,5,0,2458,2381
2026-01-18,Cow Milk,6,0,2381,2429
2026-01-19,Cow Milk,0,0,2429,2638
2026-01-20,Cow Milk,1,0,2638,2859
2026-01-21,Cow Milk,2,0,2859,2819
2026-01-22,Cow Milk,3,0,2819,2777
2026-01-23,Cow Milk,4,0,2777,2740
2026-01-24,Cow Milk,5,0,2740,2747
2026-01-25,Cow Milk,6,0,2747,2933
2026-01-26,Cow Milk,0,0,2933,3133
2026-01-27,Cow Milk,1,0,3133,2898
2026-01-28,Cow Milk,2,0,2898,2995
2026-01-29,Cow Milk,3,0,2995,2938
2026-01-30,Cow Milk,4,0,2938,3204
2026-01-31,Cow Milk,5,0,3204,2918
2026-02-01,Cow Milk,6,0,2918,3051
2026-02-02,Cow Milk,0,0,3051,2898
2026-02-03,Cow Milk,1,0,2898,2800
2026-02-04,Cow Milk,2,0,2800,2626
2026-02-05,Cow Milk,3,0,2626,2873
2026-02-06,Cow Milk,4,0,2873,2632
2026-02-07,Cow Milk,5,0,2632,2689
2026-02-08,Cow Milk,6,0,2689,2970
2026-02-09,Cow Milk,0,0,2970,2960
2026-02-10,Cow Milk,1,0,2960,2685
2026-02-11,Cow Milk,2,0,2685,2716
2026-02-12,Cow Milk,3,0,2716,2854
2026-02-13,Cow Milk,4,0,2854,2829
2026-02-14,Cow Milk,5,0,2829,3084
2026-02-15,Cow Milk,6,0,3084,3165
2026-02-16,Cow Milk,0,0,3165,3459
2026-02-17,Cow Milk,1,0,3459,3457
2026-02-18,Cow Milk,2,0,3457,3343
2026-02-19,Cow Milk,3,0,3343,3583
2026-02-20,Cow Milk,4,0,3583,3892
2026-02-21,Cow Milk,5,0,3892,4200
2026-02-22,Cow Milk,6,0,4200,4530
2026-02-23,Cow Milk,0,0,4530,4167
2026-02-24,Cow Milk,1,0,4167,4528
2026-02-25,Cow Milk,2,0,4528,4735
2026-02-26,Cow Milk,3,0,4735,4567
2026-02-27,Cow Milk,4,0,4567,4670
2026-02-28,Cow Milk,5,0,4670,4807
2026-03-01,Cow Milk,6,1,4807,5263
2026-03-02,Cow Milk,0,1,5263,5133
2026-03-03,Cow Milk,1,1,5133,4998
2026-03-04,Cow Milk,2,1,4998,5052
2026-03-05,Cow Milk,3,1,5052,5475
2026-03-06,Cow Milk,4,1,5475,5260
2026-03-07,Cow Milk,5,1,5260,5297
2026-03-08,Cow Milk,6,1,5297,5691
2026-03-09,Cow Milk,0,1,5691,5997
2026-03-10,Cow Milk,1,1,5997,6490
2026-03-11,Cow Milk,2,1,6490,6656
2026-03-12,Cow Milk,3,1,6656,6888
2026-03-13,Cow Milk,4,1,6888,6219
2026-03-14,Cow Milk,5,1,6219,5956
2026-03-15,Cow Milk,6,1,5956,6227
2025-03-16,Buffalo Milk,6,1,76,97
2025-03-17,Buffalo Milk,0,1,97,103
2025-03-18,Buffalo Milk,1,1,103,100
2025-03-19,Buffalo Milk,2,1,100,93
2025-03-20,Buffalo Milk,3,1,93,92
2025-03-21,Buffalo Milk,4,1,92,86
2025-03-22,Buffalo Milk,5,1,86,102
2025-03-23,Buffalo Milk,6,1,102,121
2025-03-24,Buffalo Milk,0,1,121,129
2025-03-25,Buffalo Milk,1,1,129,125
2025-03-26,Buffalo Milk,2,1,125,120
2025-03-27,Buffalo Milk,3,1,120,119
2025-03-28,Buffalo Milk,4,1,119,126
2025-03-29,Buffalo Milk,5,1,126,154
2025-03-30,Buffalo Milk,6,1,154,193
2025-03-31,Buffalo Milk,0,1,193,175
2025-04-01,Buffalo Milk,1,1,175,157
2025-04-02,Buffalo Milk,2,1,157,142
2025-04-03,Buffalo Milk,3,1,142,152
2025-04-04,Buffalo Milk,4,1,152,150
2025-04-05,Buffalo Milk,5,1,150,153
2025-04-06,Buffalo Milk,6,1,153,189
2025-04-07,Buffalo Milk,0,1,189,183
2025-04-08,Buffalo Milk,1,1,183,182
2025-04-09,Buffalo Milk,2,1,182,174
2025-04-10,Buffalo Milk,3,1,174,174
2025-04-11,Buffalo Milk,4,1,174,181
2025-04-12,Buffalo Milk,5,1,181,210
2025-04-13,Buffalo Milk,6,1,210,240
2025-04-14,Buffalo Milk,0,1,240,228
2025-04-15,Buffalo Milk,1,1,228,240
2025-04-16,Buffalo Milk,2,1,240,218
2025-04-17,Buffalo Milk,3,1,218,214
2025-04-18,Buffalo Milk,4,1,214,210
2025-04-19,Buffalo Milk,5,1,210,202
2025-04-20,Buffalo Milk,6,1,202,224
2025-04-21,Buffalo Milk,0,1,224,225
2025-04-22,Buffalo Milk,1,1,225,215
2025-04-23,Buffalo Milk,2,1,215,210
2025-04-24,Buffalo Milk,3,1,210,212
2025-04-25,Buffalo Milk,4,1,212,211
2025-04-26,Buffalo Milk,5,1,211,215
2025-04-27,Buffalo Milk,6,1,215,228
2025-04-28,Buffalo Milk,0,1,228,239
2025-04-29,Buffalo Milk,1,1,239,246
2025-04-30,Buffalo Milk,2,1,246,250
2025-05-01,Buffalo Milk,3,1,250,254
2025-05-02,Buffalo Milk,4,1,254,242
2025-05-03,Buffalo Milk,5,1,242,242
2025-05-04,Buffalo Milk,6,1,242,272
2025-05-05,Buffalo Milk,0,1,272,290
2025-05-06,Buffalo Milk,1,1,290,261
2025-05-07,Buffalo Milk,2,1,261,257
2025-05-08,Buffalo Milk,3,1,257,260
2025-05-09,Buffalo Milk,4,1,260,244
2025-05-10,Buffalo Milk,5,1,244,273
2025-05-11,Buffalo Milk,6,1,273,276
2025-05-12,Buffalo Milk,0,1,276,257
2025-05-13,Buffalo Milk,1,1,257,258
2025-05-14,Buffalo Milk,2,1,258,243
2025-05-15,Buffalo Milk,3,1,243,233
2025-05-16,Buffalo Milk,4,1,233,221
2025-05-17,Buffalo Milk,5,1,221,241
2025-05-18,Buffalo Milk,6,1,241,262
2025-05-19,Buffalo Milk,0,1,262,248
2025-05-20,Buffalo Milk,1,1,248,241
2025-05-21,Buffalo Milk,2,1,241,237
2025-05-22,Buffalo Milk,3,1,237,252
2025-05-23,Buffalo Milk,4,1,252,261
2025-05-24,Buffalo Milk,5,1,261,302
2025-05-25,Buffalo Milk,6,1,302,348
2025-05-26,Buffalo Milk,0,1,348,314
2025-05-27,Buffalo Milk,1,1,314,294
2025-05-28,Buffalo Milk,2,1,294,269
2025-05-29,Buffalo Milk,3,1,269,248
2025-05-30,Buffalo Milk,4,1,248,262
2025-05-31,Buffalo Milk,5,1,262,262
2025-06-01,Buffalo Milk,6,2,262,309
2025-06-02,Buffalo Milk,0,2,309,364
2025-06-03,Buffalo Milk,1,2,364,377
2025-06-04,Buffalo Milk,2,2,377,427
2025-06-05,Buffalo Milk,3,2,427,500
2025-06-06,Buffalo Milk,4,2,500,560
2025-06-07,Buffalo Milk,5,2,560,673
2025-06-08,Buffalo Milk,6,2,673,744
2025-06-09,Buffalo Milk,0,2,744,766
2025-06-10,Buffalo Milk,1,2,766,777
2025-06-11,Buffalo Milk,2,2,777,758
2025-06-12,Buffalo Milk,3,2,758,750
2025-06-13,Buffalo Milk,4,2,750,823
2025-06-14,Buffalo Milk,5,2,823,934
2025-06-15,Buffalo Milk,6,2,934,984
2025-06-16,Buffalo Milk,0,2,984,1021
2025-06-17,Buffalo Milk,1,2,1021,1078
2025-06-18,Buffalo Milk,2,2,1078,1136
2025-06-19,Buffalo Milk,3,2,1136,1138
2025-06-20,Buffalo Milk,4,2,1138,1222
2025-06-21,Buffalo Milk,5,2,1222,1206
2025-06-22,Buffalo Milk,6,2,1206,1369
2025-06-23,Buffalo Milk,0,2,1369,1378
2025-06-24,Buffalo Milk,1,2,1378,1389
2025-06-25,Buffalo Milk,2,2,1389,1509
2025-06-26,Buffalo Milk,3,2,1509,1615
2025-06-27,Buffalo Milk,4,2,1615,1573
2025-06-28,Buffalo Milk,5,2,1573,1718
2025-06-29,Buffalo Milk,6,2,1718,1725
2025-06-30,Buffalo Milk,0,2,1725,1821
2025-07-01,Buffalo Milk,1,2,1821,1883
2025-07-02,Buffalo Milk,2,2,1883,1762
2025-07-03,Buffalo Milk,3,2,1762,1872
2025-07-04,Buffalo Milk,4,2,1872,2068
2025-07-05,Buffalo Milk,5,2,2068,2078
2025-07-06,Buffalo Milk,6,2,2078,2092
2025-07-07,Buffalo Milk,0,2,2092,2004
2025-07-08,Buffalo Milk,1,2,2004,2214
2025-07-09,Buffalo Milk,2,2,2214,2260
2025-07-10,Buffalo Milk,3,2,2260,2184
2025-07-11,Buffalo Milk,4,2,2184,2261
2025-07-12,Buffalo Milk,5,2,2261,2252
2025-07-13,Buffalo Milk,6,2,2252,2186
2025-07-14,Buffalo Milk,0,2,2186,2210
2025-07-15,Buffalo Milk,1,2,2210,2456
2025-07-16,Buffalo Milk,2,2,2456,2529
2025-07-17,Buffalo Milk,3,2,2529,2647
2025-07-18,Buffalo Milk,4,2,2647,2700
2025-07-19,Buffalo Milk,5,2,2700,2675
2025-07-20,Buffalo Milk,6,2,2675,2630
2025-07-21,Buffalo Milk,0,2,2630,2616
2025-07-22,Buffalo Milk,1,2,2616,2826
2025-07-23,Buffalo Milk,2,2,2826,2830
2025-07-24,Buffalo Milk,3,2,2830,3098
2025-07-25,Buffalo Milk,4,2,3098,3000
2025-07-26,Buffalo Milk,5,2,3000,3131
2025-07-27,Buffalo Milk,6,2,3131,3461
2025-07-28,Buffalo Milk,0,2,3461,3527
2025-07-29,Buffalo Milk,1,2,3527,3277
2025-07-30,Buffalo Milk,2,2,3277,3408
2025-07-31,Buffalo Milk,3,2,3408,3596
2025-08-01,Buffalo Milk,4,2,3596,3908
2025-08-02,Buffalo Milk,5,2,3908,4315
2025-08-03,Buffalo Milk,6,2,4315,3984
2025-08-04,Buffalo Milk,0,2,3984,3785
2025-08-05,Buffalo Milk,1,2,3785,3460
2025-08-06,Buffalo Milk,2,2,3460,3625
2025-08-07,Buffalo Milk,3,2,3625,3813
2025-08-08,Buffalo Milk,4,2,3813,4142
2025-08-09,Buffalo Milk,5,2,4142,4408
2025-08-10,Buffalo Milk,6,2,4408,4247
2025-08-11,Buffalo Milk,0,2,4247,4573
2025-08-12,Buffalo Milk,1,2,4573,4937
2025-08-13,Buffalo Milk,2,2,4937,4786
2025-08-14,Buffalo Milk,3,2,4786,5108
2025-08-15,Buffalo Milk,4,2,5108,5347
2025-08-16,Buffalo Milk,5,2,5347,4874
2025-08-17,Buffalo Milk,6,2,4874,4746
2025-08-18,Buffalo Milk,0,2,4746,4854
2025-08-19,Buffalo Milk,1,2,4854,4678
2025-08-20,Buffalo Milk,2,2,4678,4596
2025-08-21,Buffalo Milk,3,2,4596,4447
2025-08-22,Buffalo Milk,4,2,4447,4800
2025-08-23,Buffalo Milk,5,2,4800,5053
2025-08-24,Buffalo Milk,6,2,5053,5386
2025-08-25,Buffalo Milk,0,2,5386,5744
2025-08-26,Buffalo Milk,1,2,5744,6355
2025-08-27,Buffalo Milk,2,2,6355,7027
2025-08-28,Buffalo Milk,3,2,7027,7645
2025-08-29,Buffalo Milk,4,2,7645,7575
2025-08-30,Buffalo Milk,5,2,7575,7294
2025-08-31,Buffalo Milk,6,2,7294,7169
2025-09-01,Buffalo Milk,0,3,7169,6776
2025-09-02,Buffalo Milk,1,3,6776,6442
2025-09-03,Buffalo Milk,2,3,6442,6170
2025-09-04,Buffalo Milk,3,3,6170,6749
2025-09-05,Buffalo Milk,4,3,6749,6828
2025-09-06,Buffalo Milk,5,3,6828,7363
2025-09-07,Buffalo Milk,6,3,7363,8101
2025-09-08,Buffalo Milk,0,3,8101,7408
2025-09-09,Buffalo Milk,1,3,7408,7748
2025-09-10,Buffalo Milk,2,3,7748,8074
2025-09-11,Buffalo Milk,3,3,8074,8367
2025-09-12,Buffalo Milk,4,3,8367,8954
2025-09-13,Buffalo Milk,5,3,8954,8539
2025-09-14,Buffalo Milk,6,3,8539,9099
2025-09-15,Buffalo Milk,0,3,9099,9626
2025-09-16,Buffalo Milk,1,3,9626,10090
2025-09-17,Buffalo Milk,2,3,10090,9232
2025-09-18,Buffalo Milk,3,3,9232,8845
2025-09-19,Buffalo Milk,4,3,8845,8131
2025-09-20,Buffalo Milk,5,3,8131,8350
2025-09-21,Buffalo Milk,6,3,8350,7780
2025-09-22,Buffalo Milk,0,3,7780,7193
2025-09-23,Buffalo Milk,1,3,7193,7745
2025-09-24,Buffalo Milk,2,3,7745,7761
2025-09-25,Buffalo Milk,3,3,7761,7015
2025-09-26,Buffalo Milk,4,3,7015,7473
2025-09-27,Buffalo Milk,5,3,7473,7300
2025-09-28,Buffalo Milk,6,3,7300,7259
2025-09-29,Buffalo Milk,0,3,7259,7572
2025-09-30,Buffalo Milk,1,3,7572,6891
2025-10-01,Buffalo Milk,2,3,6891,6349
2025-10-02,Buffalo Milk,3,3,6349,6860
2025-10-03,Buffalo Milk,4,3,6860,6267
2025-10-04,Buffalo Milk,5,3,6267,6205
2025-10-05,Buffalo Milk,6,3,6205,5912
2025-10-06,Buffalo Milk,0,3,5912,5331
2025-10-07,Buffalo Milk,1,3,5331,4933
2025-10-08,Buffalo Milk,2,3,4933,5413
2025-10-09,Buffalo Milk,3,3,5413,5517
2025-10-10,Buffalo Milk,4,3,5517,5748
2025-10-11,Buffalo Milk,5,3,5748,5734
2025-10-12,Buffalo Milk,6,3,5734,6043
2025-10-13,Buffalo Milk,0,3,6043,5667
2025-10-14,Buffalo Milk,1,3,5667,5294
